# ALMA, Llano de Chajnantor, alt. 5040m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
          0.25000  0.50000  1.00000  2.00000  3.00000  5.00000 
22.20000  0.99175  0.98905  0.98369  0.97310  0.96266  0.94225 
22.30000  0.99170  0.98899  0.98360  0.97294  0.96243  0.94190 
22.40000  0.99169  0.98901  0.98366  0.97310  0.96269  0.94233 
22.50000  0.99172  0.98909  0.98386  0.97351  0.96332  0.94336 
22.60000  0.99177  0.98922  0.98415  0.97412  0.96423  0.94485 
22.70000  0.99184  0.98939  0.98451  0.97486  0.96533  0.94666 
22.80000  0.99192  0.98958  0.98492  0.97569  0.96657  0.94868 
22.90000  0.99200  0.98978  0.98535  0.97656  0.96788  0.95082 
23.00000  0.99209  0.98998  0.98578  0.97745  0.96921  0.95300 
23.10000  0.99217  0.99018  0.98621  0.97833  0.97054  0.95518 
23.20000  0.99225  0.99038  0.98663  0.97919  0.97183  0.95730 
23.30000  0.99233  0.99056  0.98703  0.98002  0.97307  0.95934 
23.40000  0.99240  0.99073  0.98741  0.98080  0.97425  0.96129 
23.50000  0.99246  0.99089  0.98776  0.98154  0.97536  0.96312 
23.60000  0.99251  0.99103  0.98809  0.98222  0.97639  0.96484 
23.70000  0.99255  0.99116  0.98838  0.98284  0.97734  0.96643 
23.80000  0.99254  0.99123  0.98860  0.98338  0.97818  0.96787 
23.90000  0.99255  0.99131  0.98883  0.98390  0.97899  0.96923 
24.00000  0.99267  0.99149  0.98915  0.98448  0.97983  0.97059 
24.10000  0.99271  0.99160  0.98938  0.98496  0.98055  0.97179 
24.20000  0.99274  0.99168  0.98958  0.98539  0.98121  0.97288 
24.30000  0.99276  0.99176  0.98976  0.98578  0.98181  0.97389 
24.40000  0.99277  0.99182  0.98993  0.98614  0.98235  0.97482 
24.50000  0.99278  0.99188  0.99007  0.98646  0.98286  0.97567 
24.60000  0.99279  0.99193  0.99020  0.98676  0.98332  0.97646 
24.70000  0.99279  0.99197  0.99032  0.98703  0.98374  0.97718 
24.80000  0.99279  0.99200  0.99042  0.98728  0.98413  0.97785 
24.90000  0.99278  0.99203  0.99052  0.98750  0.98448  0.97846 
25.00000  0.99277  0.99205  0.99060  0.98770  0.98481  0.97903 
25.10000  0.99276  0.99207  0.99067  0.98789  0.98511  0.97954 
25.20000  0.99275  0.99208  0.99074  0.98806  0.98538  0.98003 
25.30000  0.99273  0.99209  0.99080  0.98821  0.98563  0.98047 
25.40000  0.99271  0.99209  0.99084  0.98835  0.98586  0.98088 
25.50000  0.99267  0.99207  0.99087  0.98846  0.98605  0.98124 
25.60000  0.99262  0.99204  0.99088  0.98855  0.98622  0.98156 
25.70000  0.99260  0.99203  0.99091  0.98865  0.98640  0.98189 
25.80000  0.99262  0.99207  0.99098  0.98879  0.98661  0.98223 
25.90000  0.99260  0.99207  0.99101  0.98889  0.98677  0.98252 
26.00000  0.99258  0.99207  0.99104  0.98898  0.98692  0.98278 
26.10000  0.99256  0.99206  0.99106  0.98905  0.98704  0.98303 
26.20000  0.99253  0.99204  0.99107  0.98911  0.98716  0.98325 
26.30000  0.99250  0.99203  0.99107  0.98917  0.98727  0.98345 
26.40000  0.99247  0.99200  0.99108  0.98922  0.98736  0.98364 
26.50000  0.99244  0.99198  0.99108  0.98927  0.98745  0.98382 
26.60000  0.99240  0.99196  0.99107  0.98930  0.98753  0.98398 
26.70000  0.99237  0.99193  0.99107  0.98934  0.98760  0.98412 
26.80000  0.99233  0.99191  0.99106  0.98936  0.98766  0.98426 
26.90000  0.99229  0.99188  0.99105  0.98939  0.98772  0.98439 
27.00000  0.99225  0.99185  0.99103  0.98940  0.98777  0.98450 
27.10000  0.99222  0.99182  0.99102  0.98942  0.98782  0.98461 
27.20000  0.99218  0.99178  0.99100  0.98943  0.98786  0.98470 
27.30000  0.99213  0.99175  0.99098  0.98944  0.98789  0.98479 
27.40000  0.99209  0.99171  0.99095  0.98944  0.98792  0.98487 
27.50000  0.99205  0.99167  0.99093  0.98944  0.98794  0.98494 
27.60000  0.99200  0.99164  0.99090  0.98943  0.98796  0.98501 
27.70000  0.99196  0.99160  0.99088  0.98943  0.98798  0.98507 
27.80000  0.99191  0.99156  0.99084  0.98942  0.98799  0.98512 
27.90000  0.99187  0.99151  0.99081  0.98940  0.98799  0.98516 
28.00000  0.99182  0.99148  0.99078  0.98939  0.98800  0.98521 
28.10000  0.99178  0.99143  0.99075  0.98938  0.98800  0.98525 
28.20000  0.99173  0.99139  0.99071  0.98936  0.98800  0.98528 
28.30000  0.99168  0.99134  0.99067  0.98933  0.98799  0.98530 
28.40000  0.99163  0.99130  0.99063  0.98931  0.98798  0.98532 
28.50000  0.99158  0.99125  0.99059  0.98928  0.98797  0.98534 
28.60000  0.99152  0.99120  0.99055  0.98925  0.98795  0.98535 
28.70000  0.99146  0.99114  0.99050  0.98922  0.98793  0.98535 
28.80000  0.99140  0.99108  0.99044  0.98917  0.98790  0.98534 
28.90000  0.99129  0.99098  0.99035  0.98909  0.98782  0.98529 
29.00000  0.99121  0.99090  0.99027  0.98902  0.98777  0.98526 
29.10000  0.99123  0.99092  0.99030  0.98905  0.98781  0.98532 
29.20000  0.99119  0.99088  0.99026  0.98903  0.98780  0.98533 
29.30000  0.99113  0.99083  0.99022  0.98900  0.98777  0.98532 
29.40000  0.99108  0.99077  0.99017  0.98896  0.98774  0.98531 
29.50000  0.99102  0.99072  0.99012  0.98891  0.98771  0.98529 
29.60000  0.99095  0.99066  0.99006  0.98886  0.98766  0.98526 
29.70000  0.99089  0.99059  0.99000  0.98881  0.98762  0.98523 
29.80000  0.99081  0.99051  0.98992  0.98874  0.98756  0.98518 
29.90000  0.99071  0.99041  0.98982  0.98865  0.98747  0.98511 
30.00000  0.99050  0.99021  0.98962  0.98845  0.98728  0.98494 
30.10000  0.99038  0.99009  0.98951  0.98834  0.98718  0.98484 
30.20000  0.99033  0.99004  0.98946  0.98831  0.98715  0.98483 
30.30000  0.99044  0.99015  0.98958  0.98842  0.98727  0.98496 
30.40000  0.99040  0.99012  0.98954  0.98840  0.98725  0.98495 
30.50000  0.99029  0.99001  0.98944  0.98829  0.98715  0.98486 
30.60000  0.99028  0.99000  0.98943  0.98829  0.98716  0.98487 
30.70000  0.99025  0.98997  0.98940  0.98827  0.98713  0.98486 
30.80000  0.99020  0.98991  0.98935  0.98822  0.98709  0.98482 
30.90000  0.99013  0.98985  0.98929  0.98816  0.98703  0.98478 
31.00000  0.99007  0.98979  0.98923  0.98810  0.98698  0.98473 
31.10000  0.99000  0.98972  0.98916  0.98804  0.98692  0.98467 
31.20000  0.98993  0.98966  0.98910  0.98798  0.98686  0.98462 
31.30000  0.98986  0.98958  0.98903  0.98791  0.98680  0.98456 
31.40000  0.98979  0.98951  0.98896  0.98785  0.98673  0.98450 
31.50000  0.98972  0.98944  0.98889  0.98778  0.98667  0.98444 
31.60000  0.98965  0.98937  0.98882  0.98771  0.98660  0.98438 
31.70000  0.98957  0.98929  0.98874  0.98764  0.98653  0.98431 
31.80000  0.98949  0.98922  0.98867  0.98756  0.98646  0.98424 
31.90000  0.98942  0.98914  0.98859  0.98749  0.98638  0.98418 
32.00000  0.98934  0.98906  0.98852  0.98741  0.98631  0.98410 
32.10000  0.98926  0.98898  0.98843  0.98734  0.98623  0.98403 
32.20000  0.98918  0.98891  0.98836  0.98726  0.98616  0.98396 
32.30000  0.98910  0.98883  0.98828  0.98718  0.98608  0.98388 
32.40000  0.98902  0.98875  0.98820  0.98710  0.98600  0.98380 
32.50000  0.98894  0.98866  0.98812  0.98702  0.98592  0.98372 
32.60000  0.98885  0.98858  0.98803  0.98694  0.98584  0.98364 
32.70000  0.98877  0.98849  0.98795  0.98685  0.98575  0.98356 
32.80000  0.98868  0.98841  0.98786  0.98677  0.98567  0.98347 
32.90000  0.98860  0.98832  0.98777  0.98668  0.98558  0.98339 
33.00000  0.98851  0.98823  0.98769  0.98659  0.98549  0.98330 
33.10000  0.98842  0.98814  0.98760  0.98650  0.98541  0.98321 
33.20000  0.98833  0.98805  0.98751  0.98641  0.98532  0.98312 
33.30000  0.98824  0.98796  0.98742  0.98632  0.98522  0.98303 
